TimeStamp,DesiredCapacity,InsufficientConcurrencyLimitError,InsufficientCapacityError,ActualCapacity,CapacityUtilization,InUseCapacity,AvailableCapacity,hour,day_of_week,is_holiday,item_id
2024-12-25 17:00:00,5.0,,,5.0,0.0,0.0,5.0,17,2,1,appstream_fleet
2024-12-25 18:00:00,4.016666666666667,,,4.05,0.0,0.0,4.05,18,2,1,appstream_fleet
2024-12-25 19:00:00,2.0,,,2.0,0.0,0.0,2.0,19,2,1,appstream_fleet
2024-12-25 20:00:00,2.0,,,2.0,0.0,0.0,2.0,20,2,1,appstream_fleet
2024-12-25 21:00:00,2.0,,,2.0,0.0,0.0,2.0,21,2,1,appstream_fleet
2024-12-25 22:00:00,2.0,,,2.0,0.0,0.0,2.0,22,2,1,appstream_fleet
2024-12-25 23:00:00,2.0,,,2.0,0.0,0.0,2.0,23,2,1,appstream_fleet
2024-12-26 00:00:00,2.0,,,2.0,0.0,0.0,2.0,0,3,1,appstream_fleet
2024-12-26 01:00:00,2.0,,,2.0,0.0,0.0,2.0,1,3,1,appstream_fleet
2024-12-26 02:00:00,2.0,,,2.0,0.0,0.0,2.0,2,3,1,appstream_fleet
2024-12-26 03:00:00,2.0,,,2.0,0.0,0.0,2.0,3,3,1,appstream_fleet
2024-12-26 04:00:00,2.0,,,2.0,0.0,0.0,2.0,4,3,1,appstream_fleet
2024-12-26 05:00:00,28.0,,,22.966666666666665,0.0,0.0,22.966666666666665,5,3,1,appstream_fleet
2024-12-26 06:00:00,28.0,,,28.0,0.0,0.0,28.0,6,3,1,appstream_fleet
2024-12-26 07:00:00,28.0,,,28.0,0.0,0.0,28.0,7,3,1,appstream_fleet
2024-12-26 08:00:00,27.066666666666663,0.0,0.0,27.133333333333333,1.2360873694207026,0.3166666666666666,26.816666666666663,8,3,1,appstream_fleet
2024-12-26 09:00:00,20.7,,,20.78333333333333,4.861799057047409,1.0,19.78333333333333,9,3,1,appstream_fleet
2024-12-26 10:00:00,13.616666666666667,,,13.733333333333333,7.446320019849432,1.0,12.733333333333333,10,3,1,appstream_fleet
2024-12-26 11:00:00,6.883333333333334,,,6.933333333333334,15.375,1.0,5.933333333333334,11,3,1,appstream_fleet
2024-12-26 12:00:00,5.0,,,4.833333333333333,13.0,0.65,4.183333333333334,12,3,1,appstream_fleet
2024-12-26 13:00:00,5.0,,,5.0,0.0,0.0,5.0,13,3,1,appstream_fleet
2024-12-26 14:00:00,5.0,,,5.0,0.0,0.0,5.0,14,3,1,appstream_fleet
2024-12-26 15:00:00,5.0,,,5.0,0.0,0.0,5.0,15,3,1,appstream_fleet
2024-12-26 16:00:00,5.0,,,5.0,0.0,0.0,5.0,16,3,1,appstream_fleet
2024-12-26 17:00:00,5.0,,,5.0,0.0,0.0,5.0,17,3,1,appstream_fleet
2024-12-26 18:00:00,4.05,,,4.083333333333333,0.0,0.0,4.083333333333333,18,3,1,appstream_fleet
2024-12-26 19:00:00,2.0,,,2.0,0.0,0.0,2.0,19,3,1,appstream_fleet
2024-12-26 20:00:00,2.0,,,2.0,0.0,0.0,2.0,20,3,1,appstream_fleet
2024-12-26 21:00:00,2.0,,,2.0,0.0,0.0,2.0,21,3,1,appstream_fleet
2024-12-26 22:00:00,2.0,,,2.0,0.0,0.0,2.0,22,3,1,appstream_fleet
2024-12-26 23:00:00,2.0,,,2.0,0.0,0.0,2.0,23,3,1,appstream_fleet
2024-12-27 00:00:00,2.0,,,2.0,0.0,0.0,2.0,0,4,0,appstream_fleet
2024-12-27 01:00:00,2.0,,,2.0,0.0,0.0,2.0,1,4,0,appstream_fleet
2024-12-27 02:00:00,2.0,,,2.0,0.0,0.0,2.0,2,4,0,appstream_fleet
2024-12-27 03:00:00,2.0,,,2.0,0.0,0.0,2.0,3,4,0,appstream_fleet
2024-12-27 04:00:00,2.0,,,2.0,0.0,0.0,2.0,4,4,0,appstream_fleet
2024-12-27 05:00:00,28.0,0.0,0.0,22.55,0.119047619047619,0.0333333333333333,22.516666666666666,5,4,0,appstream_fleet
2024-12-27 06:00:00,28.0,0.0,0.0,28.0,5.11904761904762,1.4333333333333331,26.566666666666663,6,4,0,appstream_fleet
