TimeStamp,InUseCapacity_P50,InUseCapacity_P10,InUseCapacity_P90
2026-03-25 16:00:00,40.75,40.75,40.75
2026-03-25 17:00:00,33.75,33.75,33.75
2026-03-25 18:00:00,23.125,23.125,23.125
2026-03-25 19:00:00,12.1875,12.1875,12.1875
2026-03-25 20:00:00,5.75,5.75,5.75
2026-03-25 21:00:00,2.390625,2.390625,2.390625
2026-03-25 22:00:00,0.828125,0.828125,0.828125
2026-03-25 23:00:00,0.828125,0.828125,0.828125
2026-03-26 00:00:00,0.16308594,0.16308594,0.16308594
2026-03-26 01:00:00,0.16308594,0.16308594,0.16308594
2026-03-26 02:00:00,0.06738281,0.06738281,0.06738281
2026-03-26 03:00:00,0.06738281,0.06738281,0.06738281
2026-03-26 04:00:00,0.06738281,0.06738281,0.06738281
2026-03-26 05:00:00,0.16308594,0.16308594,0.16308594
2026-03-26 06:00:00,1.8515625,1.8515625,1.8515625
2026-03-26 07:00:00,16.5,16.5,16.5
2026-03-26 08:00:00,43.25,43.25,43.25
2026-03-26 09:00:00,53.25,53.25,53.25
2026-03-26 10:00:00,57.0,57.0,57.0
2026-03-26 11:00:00,55.5,55.5,55.5
2026-03-26 12:00:00,51.5,51.5,51.5
2026-03-26 13:00:00,47.5,47.5,47.5
2026-03-26 14:00:00,44.0,44.0,44.0
2026-03-26 15:00:00,44.0,44.0,44.0
